second,Volt,Volt,Volt,Volt4
-2.5,-1.331658,-0.170854,-8.040201,0.572362
-2.4975,-1.60804,-0.170854,-25.942212,0.572362
-2.495,-1.60804,-0.371859,-44.221107,0.56608
-2.4925,-1.60804,-0.170854,-61.118092,0.532161
-2.49,-1.080402,-0.170854,-79.711057,0.558543
-2.4875,-0.879397,-0.189698,-96.670856,0.572362
-2.485,-1.60804,-0.170854,-102.512565,0.532161
-2.4825,-1.60804,-0.491206,-85.238695,0.55603
-2.48,-1.331658,-0.170854,-67.022615,0.532161
-2.4775,-1.60804,-0.371859,-48.429649,0.532161
-2.475,-1.60804,-0.371859,-30.150754,0.532161
-2.4725,-1.60804,-0.051507,-12.060302,0.532161
-2.47,-1.60804,-0.371859,4.020101,0.54598
-2.4675,-1.60804,-0.371859,22.110553,0.568593
-2.465,-1.60804,-0.371859,40.515076,0.572362
-2.4625,-1.60804,-0.572864,58.291459,0.572362
-2.46,-1.331658,-0.170854,76.381911,0.558543
-2.4575,-0.80402,-0.371859,94.283922,0.572362
-2.455,-0.929648,-0.202261,90.452263,0.572362
-2.4525,-1.60804,-0.170854,74.371861,0.572362
-2.45,-1.331658,-0.371859,54.962313,0.532161
-2.4475,-1.60804,-0.353015,38.190956,0.572362
-2.445,-0.80402,-0.340452,18.090453,0.538442
-2.4425,-1.60804,-0.371859,1.193467,0.532161
-2.44,-1.080402,-0.170854,-16.080402,0.558543
-2.4375,-1.532663,-0.170854,-33.982413,0.572362
-2.435,-1.60804,-0.340452,-52.261308,0.56608
-2.4325,-1.60804,-0.170854,-69.158293,0.55603
-2.43,-1.60804,-0.23995,-88.442213,0.54598
-2.4275,-1.532663,-0.170854,-106.344224,0.572362
-2.425,-1.482412,-0.340452,-94.472364,0.538442
-2.4225,-1.60804,-0.491206,-76.381911,0.532161
-2.42,-1.60804,-0.170854,-58.291459,0.558543
-2.4175,-1.60804,-0.371859,-40.201006,0.568593
-2.415,-0.80402,-0.202261,-21.796483,0.572362
-2.4125,-1.60804,-0.170854,-4.020101,0.572362
-2.41,-1.60804,-0.371859,13.379397,0.54598
-2.4075,-0.879397,-0.189698,31.972363,0.53593
-2.405,-1.60804,-0.170854,48.241207,0.538442
-2.4025,-1.60804,-0.572864,66.33166,0.572362
-2.4,-1.60804,-0.170854,84.422112,0.572362
-2.3975,-1.60804,-0.353015,102.512565,0.572362
-2.395,-0.929648,-0.170854,82.412062,0.56608
-2.3925,-1.281407,-0.051507,66.33166,0.532161
-2.39,-0.80402,-0.371859,46.922112,0.572362
-2.3875,-1.60804,-0.170854,28.140704,0.568593
-2.385,-1.60804,-0.371859,12.060302,0.572362
-2.3825,-1.60804,-0.572864,-6.030151,0.572362
-2.38,-1.60804,-0.170854,-25.439699,0.572362
-2.3775,-1.60804,-0.189698,-42.211056,0.53593
-2.375,-1.60804,-0.202261,-60.301509,0.572362
-2.3725,-1.60804,0.030151,-78.391962,0.548492
-2.37,-1.60804,-0.23995,-96.482414,0.54598
-2.3675,-0.80402,-0.170854,-104.522615,0.572362
-2.365,-1.60804,-0.202261,-86.432163,0.572362
-2.3625,-1.60804,-0.572864,-68.34171,0.572362
-2.36,-1.080402,-0.170854,-50.251257,0.532161
-2.3575,-0.879397,-0.371859,-32.160805,0.572362
-2.355,-1.60804,-0.202261,-12.060302,0.572362
-2.3525,-0.80402,-0.170854,2.826633,0.55603
-2.35,-1.080402,-0.23995,21.419598,0.558543
-2.3475,-1.60804,-0.189698,40.201006,0.568593
-2.345,-1.60804,-0.202261,56.595479,0.572362
-2.3425,-1.60804,-0.371859,75.188444,0.548492
-2.34,-0.80402,-0.302764,93.781409,0.54598
-2.3375,-1.60804,-0.371859,92.462314,0.572362
-2.335,-1.60804,-0.170854,74.371861,0.56608
-2.3325,-1.60804,0.030151,57.474876,0.572362
-2.33,-1.331658,-0.371859,38.190956,0.572362
-2.3275,-0.879397,-0.189698,20.100503,0.572362
-2.325,-1.60804,-0.371859,3.70603,0.56608
-2.3225,-1.281407,-0.572864,-14.070352,0.548492
-2.32,-1.60804,-0.170854,-32.788945,0.558543
-2.3175,-1.532663,-0.371859,-50.251257,0.568593
-2.315,-1.60804,-0.202261,-70.35176,0.532161
-2.3125,-1.60804,-0.089196,-86.432163,0.572362
-2.31,-1.331658,-0.371859,-104.522615,0.572362
-2.3075,-1.60804,-0.189698,-96.670856,0.53593
-2.305,-1.60804,-0.340452,-78.077891,0.532161
-2.3025,-1.281407,-0.453518,-60.301509,0.572362
-2.3,-1.080402,-0.038945,-40.891961,0.505779
-2.2975,-0.879397,-0.371859,-24.120604,0.572362
-2.295,-1.482412,-0.371859,-5.716081,0.572362
-2.2925,-1.281407,-0.170854,12.060302,0.548492
-2.29,-1.080402,-0.371859,30.150754,0.532161
-2.2875,-0.879397,-0.371859,48.052765,0.572362
-2.285,-1.60804,-0.202261,66.33166,0.572362
-2.2825,-1.130653,-0.572864,84.422112,0.55603
-2.28,-1.60804,-0.302764,101.82161,0.558543
-2.2775,-1.60804,-0.353015,84.422112,0.53593
-2.275,-1.60804,-0.340452,66.017589,0.538442
-2.2725,-1.60804,-0.170854,48.241207,0.548492
-2.27,-1.080402,-0.302764,30.150754,0.558543
-2.2675,-0.879397,-0.371859,12.060302,0.568593
-2.265,-1.482412,-0.340452,-6.030151,0.56608
-2.2625,-1.60804,-0.491206,-22.927136,0.572362
-2.26,-1.331658,-0.101759,-40.891961,0.558543
-2.2575,-1.60804,-0.371859,-60.113067,0.568593
-2.255,-1.60804,-0.371859,-76.695982,0.572362
-2.2525,-1.130653,0.030151,-96.482414,0.548492
-2.25,-1.60804,-0.23995,-106.532666,0.572362
-2.2475,-1.60804,-0.170854,-86.620605,0.572362
-2.245,-1.482412,-0.371859,-68.34171,0.572362
