second,Volt,Volt,Volt,Volt4
-10.0285,2.2190954,0.0010992,-1.1840452,0.0827469
-10.02818,2.1952261,-0.0029209,-1.4290201,0.0827469
-10.02786,2.2027638,-0.004554,-1.5483668,0.0827469
-10.02754,2.2190954,-0.006941,-1.8687186,0.0827469
-10.02722,2.2190954,-0.0085741,-2.0320352,0.0827469
-10.0269,2.2190954,-0.0038002,-2.2707287,0.0827469
-10.02658,2.2190954,0.001853,-2.553392,0.0827469
-10.02626,2.2190954,0.0034862,-2.754397,0.0827469
-10.02594,2.2190954,-0.0012877,-2.955402,0.0827469
-10.02562,2.2190954,-0.006941,-3.1564071,0.0803599
-10.0253,2.2190954,-0.0109611,-3.4767588,0.0811137
-10.02498,2.2190954,-0.0149812,-3.7594221,0.0827469
-10.02466,2.2190954,-0.0142274,-3.8410804,0.0827469
-10.02434,2.2190954,-0.0125942,-3.9604272,0.0827469
-10.02402,2.2190954,-0.0102073,-4.2807789,0.0827469
-10.0237,2.2190954,-0.0085741,-4.5634422,0.0827469
-10.02338,2.2429648,-0.0061872,-4.883794,0.0827469
-10.02306,2.2354271,-0.004554,-5.2858041,0.0803599
-10.02274,2.2190954,-0.004554,-5.4491206,0.0811137
-10.02242,2.2190954,-0.0021671,-5.5684674,0.0827469
-10.0221,2.2190954,-0.0005339,-5.7694724,0.0827469
-10.02178,2.2190954,-0.0005339,-5.9704774,0.0827469
-10.02146,2.2190954,0.001853,-6.1714825,0.0827469
-10.02114,2.2190954,0.0010992,-6.4918342,0.0803599
-10.02082,2.2190954,-0.0029209,-6.7744975,0.0811137
-10.0205,2.2190954,-0.004554,-6.9755026,0.0827469
-10.02018,2.2190954,-0.004554,-7.1765076,0.0827469
-10.01986,2.2190954,-0.006941,-7.4968594,0.0827469
-10.01954,2.2190954,-0.0085741,-7.6601759,0.0803599
-10.01922,2.2190954,-0.0109611,-7.7795227,0.0787268
-10.0189,2.2190954,-0.0125942,-8.0998744,0.0787268
-10.01858,2.2190954,-0.0125942,-8.263191,0.0811137
-10.01826,2.2190954,-0.0102073,-8.5018845,0.0827469
-10.01794,2.2190954,-0.0085741,-8.7845478,0.0803599
