second,Volt,Volt,Volt,Volt4
0.185,-0.072362,-0.009208,4.802136,0.009617
0.19,-0.072362,-0.009208,8.219221,0.009617
0.195,-0.072362,-0.001168,8.457915,0.00924
0.2,-0.072362,-0.00167,4.802136,0.009617
0.205,-0.072362,-0.009208,1.322236,0.009617
0.21,-0.072362,-0.009208,-2.23304,0.008737
0.215,-0.072362,-0.001168,-5.851131,0.009994
0.22,-0.074874,-0.008706,-9.469221,0.009617
0.225,-0.072362,-0.009208,-8.803392,0.009617
0.23,-0.072362,-0.00569,-5.248116,0.010747
0.235,-0.0799,-0.001168,-1.667714,0.009994
0.24,-0.11005,-0.008706,1.988065,0.009617
0.245,-0.112563,-0.011721,5.467965,0.009617
0.25,-0.112563,-0.009208,9.224246,0.009617
0.255,-0.072362,-0.001168,7.653895,0.009617
0.26,-0.072362,-0.001168,3.998116,0.011501
0.265,-0.1,-0.009208,0.518216,0.010245
0.27,-0.072362,-0.009208,-3.062186,0.008486
0.275,-0.072362,-0.001168,-6.655151,0.010873
0.28,-0.072362,-0.009208,-10.285804,0.009491
0.285,-0.072362,-0.009208,-8.062186,0.009617
0.29,-0.072362,-0.009208,-4.33103,0.011627
0.295,-0.072362,0.005365,-0.826005,0.009994
0.3,-0.074874,-0.008706,2.804648,0.009617
0.305,-0.1,-0.009208,6.410176,0.009617
0.31,-0.072362,-0.009208,9.940327,0.009617
0.315,-0.105025,0.005365,6.812186,0.009617
0.32,-0.072362,-0.008706,3.194096,0.009742
0.325,-0.084925,-0.009208,-0.423995,0.009617
0.33,-0.08995,-0.009208,-3.954146,0.009617
0.335,-0.072362,0.005365,-7.622487,0.009617
0.34,-0.072362,-0.009208,-10.675251,0.009617
0.345,-0.072362,-0.017248,-7.057161,0.009617
0.35,-0.072362,-0.009208,-3.52701,0.009617
0.355,-0.072362,-0.002675,-0.059673,0.009617
0.36,-0.11005,-0.009208,3.407663,0.007858
0.365,-0.072362,-0.009208,7.415201,0.009617
0.37,-0.072362,-0.009208,9.513191,0.009617
0.375,-0.072362,-0.001168,5.844849,0.009617
0.38,-0.072362,-0.001168,2.565955,0.009617
0.385,-0.112563,-0.009208,-1.02701,0.009617
0.39,-0.072362,-0.009208,-4.645101,0.009617
0.395,-0.0799,-0.001168,-8.426508,0.009617
0.4,-0.072362,-0.016243,-9.871231,0.007732
0.405,-0.1,-0.017248,-6.391332,0.009617
0.41,-0.08995,-0.009208,-2.63505,0.010747
0.415,-0.072362,0.006872,0.782035,0.00924
0.42,-0.072362,-0.00167,4.412688,0.011627
0.425,-0.072362,-0.014736,8.08103,0.009617
0.43,-0.08995,-0.009208,8.709171,0.009617
0.435,-0.112563,-0.001168,5.040829,0.009617
0.44,-0.072362,-0.009208,1.573492,0.009617
0.445,-0.072362,-0.009208,-2.032035,0.008989
0.45,-0.08995,-0.009208,-5.562186,0.009617
0.455,-0.0799,-0.001168,-9.431533,0.007984
0.46,-0.072362,-0.00167,-9.054648,0.009742
0.465,-0.1,-0.014736,-5.449121,0.008989
0.47,-0.072362,-0.009208,-1.83103,0.009617
0.475,-0.0799,-0.001168,1.586055,0.008361
0.48,-0.072362,-0.009208,5.216709,0.009617
0.485,-0.072362,-0.009208,8.88505,0.009617
0.49,-0.094975,-0.009208,7.905151,0.010496
0.495,-0.072362,-0.002675,4.236809,0.01125
0.5,-0.072362,-0.001168,0.58103,0.009617
0.505,-0.084925,-0.011721,-2.836055,0.010999
0.51,-0.072362,-0.009208,-6.454146,0.009617
0.515,-0.072362,-0.001168,-10.072236,0.009617
0.52,-0.074874,-0.00167,-8.250628,0.009617
0.525,-0.084925,-0.014736,-4.582286,0.009617
0.53,-0.08995,-0.013731,-1.02701,0.009617
0.535,-0.0799,-0.001168,2.59108,0.009617
0.54,-0.072362,-0.008706,6.020729,0.009617
0.545,-0.1,-0.009208,9.68907,0.009617
0.55,-0.072362,-0.009208,7.013191,0.009617
0.555,-0.072362,-0.001168,3.432789,0.009617
0.56,-0.074874,-0.009208,-0.22299,0.009617
0.565,-0.072362,-0.009208,-3.702889,0.010999
0.57,-0.08995,-0.009208,-7.258166,0.007607
0.575,-0.105025,-0.002675,-10.876256,0.009617
0.58,-0.072362,-0.00167,-7.446608,0.011501
0.585,-0.072362,-0.014736,-3.778266,0.009617
0.59,-0.072362,-0.009208,-0.109925,0.008737
0.595,-0.072362,-0.0077,3.357412,0.009617
0.6,-0.072362,-0.009208,6.837312,0.009617
0.605,-0.084925,-0.009208,9.764447,0.010371
0.61,-0.08995,-0.013731,6.209171,0.009617
0.615,-0.072362,-0.001168,2.59108,0.00924
