second,Volt,Volt,Volt,Volt4
-10.0285,2.2191,-0.0062,-1.2657,0.1792
-10.0185,2.2191,0.0029,-8.4328,0.1913
-10.0085,2.2153,-0.0082,-6.2155,0.1756
-9.9985,2.2191,-0.0005,0.8511,0.1913
-9.9885,2.2191,-0.0086,8.1376,0.1752
-9.9785,2.2191,0.0001,5.066,0.1913
-9.9685,2.2191,-0.0086,-2.2519,0.1792
-9.9585,2.2191,-0.0005,-9.2054,0.1913
-9.9485,2.2191,-0.0086,-5.5308,0.1792
-9.9385,2.2191,0.0001,1.9253,0.1913
-9.9285,2.2191,-0.0046,9.0232,0.1796
-9.9185,2.2191,0.0021,4.331,0.1953
-9.9085,2.2191,-0.0086,-2.9554,0.1792
-9.8985,2.2191,0.0035,-10.2104,0.1913
-9.8885,2.2153,-0.0046,-4.6074,0.1796
-9.8785,2.2053,-0.0032,2.6602,0.1913
-9.8685,2.2191,-0.0062,9.8649,0.1792
-9.8585,2.2191,-0.0005,3.3951,0.1873
-9.8485,2.2191,-0.0082,-3.8411,0.1792
-9.8385,2.2191,0.0035,-10.8072,0.1913
-9.8285,2.2191,-0.0022,-3.7217,0.18
-9.8185,2.2191,-0.0005,3.3951,0.1873
-9.8085,2.2191,-0.0046,9.8084,0.1796
-9.7985,2.2191,0.0021,2.522,0.1899
-9.7885,2.2191,-0.0022,-4.6828,0.1816
-9.7785,2.2191,0.0001,-9.934,0.1913
-9.7685,2.2191,-0.0082,-2.8172,0.1756
-9.7585,2.2191,0.0008,4.3373,0.1899
-9.7485,2.2191,-0.0046,8.9039,0.1792
-9.7385,2.2191,0.0035,1.6175,0.1913
-9.7285,2.2191,-0.0042,-5.468,0.1792
-9.7185,2.2191,-0.0005,-9.1991,0.1899
-9.7085,2.2028,-0.0022,-1.9943,0.1816
-9.6985,2.2191,0.0001,5.1727,0.1879
-9.6885,2.2191,-0.0082,7.9994,0.1796
-9.6785,2.2191,0.0021,0.9139,0.1913
-9.6685,2.1952,-0.0022,-6.3725,0.1832
-9.6585,2.2191,-0.0005,-8.4642,0.1947
-9.6485,2.2191,-0.0038,-1.027,0.1836
-9.6385,2.2191,-0.0005,5.9454,0.1925
-9.6285,2.2191,-0.0046,7.1765,0.1816
-9.6185,2.2191,-0.0005,0.0094,0.1913
-9.6085,2.2191,-0.0046,-7.0948,0.1836
-9.5985,2.2191,0.0021,-7.3901,0.1913
-9.5885,2.2191,-0.0038,-0.3863,0.1856
-9.5785,2.2191,0.0001,6.9818,0.1879
-9.5685,2.2191,-0.0042,6.3913,0.1836
-9.5585,2.2191,-0.0005,-0.8951,0.1899
-9.5485,2.2191,-0.0022,-8.0999,0.1856
-9.5385,2.2191,-0.0005,-6.517,0.1913
-9.5285,2.2191,-0.0042,0.5999,0.1832
-9.5185,2.2191,0.0021,7.8172,0.1913
-9.5085,2.2191,-0.0046,5.4052,0.188
-9.4985,2.2191,-0.0033,-1.5986,0.1919
-9.4885,2.2191,-0.0002,-8.7029,0.1873
-9.4785,2.2191,-0.0005,-5.6501,0.1913
-9.4685,2.1952,-0.0022,1.3851,0.1856
-9.4585,2.2191,-0.0005,8.5584,0.1919
-9.4485,2.2191,-0.0078,4.5823,0.1913
-9.4385,2.2191,0.0035,-2.566,0.1979
-9.4285,2.2191,-0.0022,-9.7079,0.1937
-9.4185,2.2191,0.0001,-4.7079,0.1959
-9.4085,2.2191,-0.0005,2.2079,0.1953
-9.3985,2.2191,-0.0019,9.4943,0.1953
-9.3885,2.2191,-0.0005,3.7594,0.1937
-9.3785,2.2191,0.0001,-3.4077,0.1925
-9.3685,2.1827,-0.0009,-10.6753,0.1953
-9.3585,2.2191,-0.0019,-4.174,0.1979
-9.3485,2.2191,-0.0005,3.1124,0.1937
-9.3385,2.2191,-0.0005,10.0283,0.1959
-9.3285,2.2191,-0.0042,3.1376,0.1953
-9.3185,2.2191,-0.0033,-4.1803,0.1953
-9.3085,2.2191,-0.0022,-10.5559,0.1953
-9.2985,2.2191,0.0035,-3.2381,0.1959
-9.2885,2.2191,-0.0002,3.816,0.1957
-9.2785,2.2191,-0.0019,9.2871,0.1939
-9.2685,2.1952,-0.0005,2.1514,0.1977
-9.2585,2.1852,-0.0039,-5.1539,0.1959
-9.2485,2.2191,-0.0002,-9.4504,0.1957
-9.2385,2.2191,-0.0019,-2.3649,0.1979
-9.2285,2.2191,-0.0005,4.7205,0.1953
-9.2185,2.1852,-0.0039,8.6212,0.1925
-9.2085,2.2191,-0.0042,1.1652,0.1957
-9.1985,2.2191,-0.0019,-5.8511,0.1979
-9.1885,2.2191,0.0019,-8.7469,0.1977
-9.1785,2.2128,-0.0039,-1.4918,0.1993
-9.1685,2.2191,-0.0005,5.625,0.1957
-9.1585,2.2191,-0.0019,7.5471,0.1953
-9.1485,2.2191,0.0019,0.3423,0.2001
-9.1385,2.2191,-0.0039,-6.6237,0.1966
-9.1285,2.2191,-0.0005,-8.0245,0.1997
-9.1185,2.2053,-0.0019,-0.7569,0.1979
-9.1085,2.2191,0.0035,6.5295,0.1993
-9.0985,2.2191,-0.0046,6.8122,0.1993
-9.0885,2.2191,-0.0002,-0.4428,0.1997
-9.0785,2.2191,-0.0019,-7.5283,0.1979
-9.0685,2.2191,-0.0005,-7.1388,0.2017
-9.0585,2.2191,-0.0046,-0.022,0.1959
-9.0485,2.2191,-0.0002,7.2519,0.2033
-9.0385,2.2455,-0.0046,5.9391,0.1993
-9.0285,2.1952,0.0019,-1.228,0.2033
-9.0185,2.2191,-0.0039,-8.6024,0.1959
-9.0085,2.2191,-0.0002,-6.2343,0.203
-8.9985,2.2053,-0.0046,0.8511,0.1979
-8.9885,2.2191,0.0035,8.2192,0.2017
-8.9785,2.2191,-0.0046,5.066,0.1993
-8.9685,2.2191,0.0035,-2.0509,0.2033
-8.9585,2.2053,-0.0059,-9.3373,0.1979
-8.9485,2.2191,-0.0005,-5.4114,0.2017
-8.9385,2.2191,-0.0039,1.7557,0.1993
-8.9285,2.2191,-0.0042,9.0421,0.2033
-8.9185,2.2053,-0.0086,4.2619,0.1967
-8.9085,2.2191,0.0019,-2.8737,0.2057
-8.8985,2.2191,-0.0039,-10.2104,0.1993
-8.8885,2.2191,0.0035,-4.4441,0.2037
-8.8785,-0.0987,-0.0019,2.6602,0.0184
-8.8685,-0.0485,0.0035,9.9466,0.0184
