second,Volt,Volt,Volt,Volt4
-2.5,-0.80402,0.030151,-6.030151,0.08995
-2.4975,-1.60804,-0.321608,-25.628141,0.049749
-2.495,-1.20603,-0.170854,-42.211056,0.08995
-2.4925,-1.407035,-0.371859,-61.809047,0.059799
-2.49,-1.60804,-0.572864,-78.391962,0.049749
-2.4875,-1.60804,-0.170854,-96.482414,0.08995
-2.485,-1.20603,-0.371859,-104.522615,0.069849
-2.4825,-1.60804,-0.371859,-84.924625,0.049749
-2.48,-1.60804,0.030151,-66.33166,0.08995
-2.4775,-1.60804,-0.371859,-49.748745,0.08995
-2.475,-1.60804,-0.170854,-31.15578,0.08995
-2.4725,-1.407035,-0.321608,-12.562814,0.08995
-2.47,-1.60804,-0.572864,6.030151,0.08995
-2.4675,-1.60804,-0.170854,22.613066,0.059799
-2.465,-1.60804,-0.371859,40.201006,0.08995
-2.4625,-1.60804,-0.371859,58.291459,0.08995
-2.46,-1.60804,0.030151,76.381911,0.08995
-2.4575,-1.60804,-0.371859,94.472364,0.059799
-2.455,-0.80402,-0.170854,90.452263,0.069849
-2.4525,-1.407035,-0.371859,74.371861,0.059799
-2.45,-0.80402,-0.572864,56.281408,0.08995
-2.4475,-1.407035,-0.120603,38.190956,0.079899
-2.445,-1.60804,-0.371859,20.100503,0.049749
-2.4425,-1.60804,-0.221105,2.01005,0.079899
-2.44,-0.80402,0.030151,-16.080402,0.08995
-2.4375,-1.60804,-0.221105,-32.160805,0.059799
-2.435,-1.60804,-0.170854,-51.256283,0.08995
-2.4325,-1.60804,-0.221105,-69.849248,0.08995
-2.43,-0.80402,-0.572864,-88.442213,0.08995
-2.4275,-1.005025,-0.0201,-106.532666,0.049749
-2.425,-1.60804,-0.371859,-96.482414,0.069849
-2.4225,-1.60804,-0.321608,-76.884424,0.08995
-2.42,-1.60804,0.030151,-58.291459,0.08995
-2.4175,-1.005025,-0.371859,-40.201006,0.059799
-2.415,-1.20603,-0.170854,-22.110553,0.08995
-2.4125,-1.005025,-0.371859,-4.020101,0.08995
-2.41,-1.60804,-0.572864,14.070352,0.08995
-2.4075,-1.60804,-0.170854,32.160805,0.08995
-2.405,-1.20603,-0.371859,48.241207,0.08995
-2.4025,-1.60804,-0.221105,66.33166,0.08995
-2.4,-1.60804,0.030151,84.422112,0.08995
-2.3975,-1.60804,-0.522613,100.502515,0.079899
-2.395,-1.60804,-0.271357,84.422112,0.049749
-2.3925,-1.60804,-0.371859,65.829147,0.059799
-2.39,-1.60804,-0.773869,46.231157,0.049749
-2.3875,-1.407035,-0.170854,29.648242,0.08995
-2.385,-1.60804,-0.472362,10.050251,0.069849
-2.3825,-1.407035,-0.321608,-6.030151,0.08995
-2.38,-1.60804,0.030151,-24.120604,0.08995
-2.3775,-1.60804,-0.371859,-42.211056,0.059799
-2.375,-1.20603,-0.170854,-61.306534,0.08995
-2.3725,-0.80402,-0.371859,-78.391962,0.08995
-2.37,-1.60804,-0.371859,-96.482414,0.049749
-2.3675,-1.60804,-0.0201,-104.020103,0.08995
-2.365,-1.20603,-0.371859,-86.432163,0.08995
-2.3625,-1.407035,-0.371859,-68.34171,0.08995
-2.36,-0.80402,0.030151,-50.251257,0.049749
-2.3575,-0.80402,-0.371859,-32.160805,0.059799
-2.355,-1.60804,-0.170854,-14.070352,0.08995
-2.3525,-1.005025,-0.371859,4.020101,0.079899
-2.35,-1.60804,-0.572864,22.110553,0.08995
-2.3475,-1.60804,-0.170854,38.693468,0.049749
-2.345,-1.20603,-0.472362,57.286433,0.049749
-2.3425,-1.60804,-0.170854,76.381911,0.08995
-2.34,-1.60804,-0.170854,94.472364,0.049749
-2.3375,-1.60804,-0.522613,92.462314,0.08995
-2.335,-1.20603,-0.170854,75.376886,0.049749
-2.3325,-1.60804,-0.371859,56.783921,0.08995
-2.33,-0.80402,-0.371859,38.190956,0.049749
-2.3275,-1.60804,-0.170854,20.100503,0.079899
-2.325,-1.60804,-0.472362,3.015075,0.069849
-2.3225,-0.80402,-0.170854,-14.070352,0.08995
-2.32,-1.60804,-0.170854,-32.160805,0.08995
-2.3175,-1.60804,-0.371859,-50.251257,0.08995
-2.315,-1.20603,-0.271357,-68.34171,0.069849
-2.3125,-1.005025,-0.371859,-86.432163,0.059799
-2.31,-0.80402,-0.572864,-104.522615,0.08995
-2.3075,-1.407035,-0.170854,-96.482414,0.08995
-2.305,-1.20603,-0.572864,-77.386936,0.08995
-2.3025,-1.60804,-0.170854,-60.301509,0.08995
-2.3,-1.60804,0.030151,-42.211056,0.049749
-2.2975,-1.60804,-0.371859,-23.618091,0.049749
-2.295,-1.20603,-0.170854,-6.030151,0.08995
-2.2925,-1.407035,-0.371859,11.557789,0.08995
-2.29,-0.80402,-0.572864,30.150754,0.049749
-2.2875,-0.80402,-0.120603,46.733669,0.059799
-2.285,-1.20603,-0.371859,66.33166,0.08995
-2.2825,-1.60804,-0.170854,84.422112,0.079899
-2.28,-1.60804,0.030151,102.512565,0.08995
-2.2775,-1.60804,-0.371859,84.422112,0.08995
-2.275,-1.20603,-0.271357,66.33166,0.08995
-2.2725,-1.60804,-0.371859,48.241207,0.059799
-2.27,-1.60804,-0.572864,30.150754,0.049749
-2.2675,-1.60804,-0.170854,12.060302,0.049749
-2.265,-1.20603,-0.472362,-4.020101,0.069849
-2.2625,-0.80402,-0.221105,-22.110553,0.08995
-2.26,-1.60804,0.030151,-42.211056,0.08995
-2.2575,-1.005025,-0.371859,-58.291459,0.079899
-2.255,-0.80402,-0.271357,-77.386936,0.069849
