second,Volt,Volt,Volt,Volt4
-0.1284,-0.0723618,0.0034862,-8.0056533,0.010071
-0.1283,-0.0736181,0.0036118,-7.861181,0.0110132
-0.1282,-0.1037689,0.0075063,-7.861181,0.010674
-0.1281,-0.0912061,0.0053706,-7.861181,0.0113901
-0.128,-0.0723618,0.0075063,-7.6601759,0.009782
-0.1279,-0.0736181,0.0075063,-7.6538945,0.0105861
-0.1278,-0.1037689,0.0075063,-7.5031408,0.0103599
-0.1277,-0.0937186,0.009642,-7.4591709,0.0105861
-0.1276,-0.0723618,0.0075063,-7.4026382,0.0105861
-0.1275,-0.1113066,0.0036118,-7.2581659,0.0105861
-0.1274,-0.0723618,0.010647,-7.2581659,0.0105861
-0.1273,-0.1125629,0.009642,-7.1639448,0.0103725
-0.1272,-0.1012563,0.0046168,-7.0571609,0.0104102
-0.1271,-0.1113066,0.0034862,-6.8561558,0.0109881
-0.127,-0.0811558,0.0066269,-7.0571609,0.0100961
-0.1269,-0.0723618,0.0034862,-6.7619347,0.0099705
-0.1268,-0.0723618,-0.0005339,-6.7116835,0.0105861
-0.1267,-0.0723618,-0.0005339,-6.6551508,0.0101966
-0.1266,-0.0723618,-0.0005339,-6.6991207,0.0096941
-0.1265,-0.0723618,-0.0024183,-6.5609297,0.0116036
-0.1264,-0.1012563,-0.0016646,-6.4541458,0.010473
-0.1263,-0.1125629,-0.004554,-6.4541458,0.010184
-0.1262,-0.1037689,-0.0014133,-6.2531407,0.00987
-0.1261,-0.1125629,-0.0005339,-6.2531407,0.0099956
-0.126,-0.0723618,-0.0016646,-6.2531407,0.0098951
-0.1259,-0.0723618,-0.004554,-6.2468593,0.0097946
-0.1258,-0.0723618,-0.004554,-6.0521357,0.0100961
-0.1257,-0.0937186,-0.0005339,-6.0521357,0.008978
-0.1256,-0.0723618,-0.004554,-5.8511307,0.0107619
-0.1255,-0.1113066,-0.0084485,-5.8448493,0.0113901
-0.1254,-0.1037689,-0.004554,-5.6501257,0.0113021
-0.1253,-0.0723618,-0.0085741,-5.6501257,0.0103976
-0.1252,-0.0723618,-0.0085741,-5.6501257,0.010071
-0.1251,-0.0723618,-0.0085741,-5.455402,0.009782
-0.125,-0.1037689,-0.0085741,-5.4491206,0.0105861
-0.1249,-0.0937186,-0.0064384,-5.3548995,0.0102092
-0.1248,-0.0836684,-0.0085741,-5.2481156,0.00938
-0.1247,-0.0723618,-0.0085741,-5.2481156,0.0101966
-0.1246,-0.0723618,-0.0085741,-5.2481156,0.0113901
-0.1245,-0.0723618,-0.0125942,-5.0471106,0.0105861
-0.1244,-0.1125629,-0.0085741,-5.0471106,0.0096062
-0.1243,-0.0723618,-0.0125942,-5.0471106,0.0105735
-0.1242,-0.1037689,-0.0125942,-4.8461056,0.0121062
-0.1241,-0.0723618,-0.0104585,-4.8461056,0.0114152
