second,Volt,Volt,Volt,Volt4
-0.4,2.219095,0.00637,7.013191,0.134114
-0.395,2.219095,-0.001168,9.764447,0.13625
-0.39,2.219095,-0.001168,6.209171,0.133361
-0.385,2.219095,-0.001168,2.465452,0.131853
-0.38,2.219095,-0.001168,-0.838568,0.134114
-0.375,2.219095,0.00436,-4.50691,0.13625
-0.37,2.21407,0.003355,-8.175251,0.13424
-0.365,2.219095,-0.0077,-10.109925,0.131853
-0.36,2.219095,0.005867,-6.454146,0.134114
-0.355,2.219095,-0.001168,-2.773241,0.13424
-0.35,2.219095,-0.001168,0.694095,0.134491
-0.345,2.219095,-0.001168,4.362437,0.131853
-0.34,2.219095,-0.001168,8.018216,0.135999
-0.335,2.219095,-0.001168,8.960427,0.13424
-0.33,2.219095,-0.001168,5.405151,0.13424
-0.325,2.219095,-0.002675,1.78706,0.130597
-0.32,2.219095,-0.001168,-1.83103,0.13223
-0.315,2.219095,0.00436,-5.31093,0.13625
-0.31,2.219095,-0.001168,-8.979271,0.136753
-0.305,2.219095,-0.002675,-9.268216,0.13223
-0.3,2.221608,-0.00167,-5.637563,0.136124
-0.295,2.191457,-0.001168,-1.969221,0.137004
-0.29,2.219095,-0.001168,1.498116,0.13424
-0.285,2.219095,-0.002675,5.166457,0.13424
-0.28,2.219095,-0.001168,8.633794,0.136124
-0.275,2.219095,-0.001168,8.156407,0.13625
-0.27,2.219095,-0.004685,4.488065,0.135371
-0.265,2.219095,-0.001168,0.819724,0.133863
-0.26,2.219095,-0.001168,-2.647613,0.138134
-0.255,2.219095,-0.001168,-6.315955,0.13826
-0.25,2.219095,-0.001168,-9.871231,0.137381
-0.245,2.219095,-0.001168,-8.464196,0.133863
-0.24,2.219095,-0.00167,-4.645101,0.138009
-0.235,2.219095,-0.001168,-1.165201,0.139014
-0.23,2.219095,-0.004685,2.302136,0.135371
-0.225,2.186432,-0.002675,5.970477,0.135873
-0.22,2.219095,-0.00167,9.626256,0.138134
-0.215,2.231658,0.00436,7.352387,0.13826
-0.21,2.219095,0.006872,3.709171,0.137381
-0.205,2.219095,-0.002675,0.015704,0.133863
-0.2,2.219095,-0.001168,-3.451633,0.13826
-0.195,2.219095,0.00436,-7.057161,0.13826
-0.19,2.219095,-0.004685,-10.788317,0.138511
-0.185,2.219095,-0.009208,-7.660176,0.13424
-0.18,2.256784,-0.00167,-4.029523,0.138134
-0.175,2.219095,-0.001168,-0.361181,0.14027
-0.17,2.196482,0.003355,3.194096,0.137632
-0.165,2.219095,-0.009208,6.812186,0.137129
-0.16,2.219095,-0.001168,10.028266,0.142155
-0.155,2.219095,-0.001168,6.548367,0.14027
-0.15,2.219095,-0.001168,2.67902,0.136753
-0.145,-0.072362,-0.009208,-0.788317,0.011627
-0.14,-0.072362,-0.00167,-4.444096,0.009491
-0.135,-0.072362,-0.001168,-7.923995,0.010999
-0.13,-0.072362,0.003355,-10.273241,0.010747
-0.125,-0.112563,-0.001168,-6.818467,0.009617
-0.12,-0.072362,-0.001168,-3.03706,0.009617
-0.115,-0.072362,-0.001168,0.380025,0.009617
-0.11,-0.094975,-0.001168,4.111181,0.010747
-0.105,-0.072362,-0.009208,7.779523,0.00924
-0.1,-0.072362,-0.001168,9.211683,0.009742
-0.095,-0.072362,-0.001168,5.405151,0.010245
-0.09,-0.094975,-0.009208,1.96294,0.009617
-0.085,-0.0799,-0.001168,-1.592337,0.01125
-0.08,-0.072362,-0.001168,-5.059673,0.009617
-0.075,-0.072362,-0.001168,-8.866206,0.008989
-0.07,-0.094975,-0.00569,-9.356156,0.009617
-0.065,-0.072362,-0.002675,-5.687814,0.010873
-0.06,-0.072362,0.00637,-2.220477,0.007732
-0.055,-0.072362,0.001345,1.246859,0.010245
-0.05,-0.094975,-0.004685,4.915201,0.009617
-0.045,-0.072362,-0.009208,8.583543,0.01125
-0.04,-0.112563,-0.001168,8.407663,0.009617
-0.035,-0.072362,0.00436,4.739322,0.008989
-0.03,-0.08995,-0.001168,0.98304,0.009617
-0.025,-0.072362,-0.0077,-2.434045,0.009617
-0.02,-0.072362,-0.001168,-6.064699,0.011501
-0.015,-0.072362,-0.001168,-9.670226,0.008235
-0.01,-0.08995,-0.004685,-8.753141,0.008737
-0.005,-0.072362,-0.009208,-5.047111,0.01125
0,-0.11005,-0.001168,-1.416457,0.009617
0.005,-0.072362,0.001345,2.18907,0.009617
0.01,-0.094975,-0.001168,5.719221,0.009617
0.015,-0.072362,-0.009208,9.387563,0.009617
0.02,-0.11005,0.00637,7.603643,0.009742
0.025,-0.112563,0.00436,3.797111,0.009617
0.03,-0.072362,-0.004685,0.17902,0.009617
0.035,-0.072362,-0.002675,-3.238065,0.007607
0.04,-0.112563,-0.001168,-6.868719,0.011501
0.045,-0.1,-0.001168,-10.53706,0.009617
0.05,-0.094975,-0.001168,-7.748116,0.008486
0.055,-0.072362,-0.009208,-4.079774,0.00924
0.06,-0.11005,-0.001168,-0.612437,0.009617
0.065,-0.1,-0.001168,3.055905,0.009617
0.07,-0.094975,-0.009208,6.611181,0.009617
0.075,-0.0799,-0.009208,10.028266,0.009617
0.08,-0.072362,-0.001168,6.598618,0.009617
0.085,-0.1,-0.001168,2.99309,0.008235
0.09,-0.072362,0.00235,-0.625,0.009617
0.095,-0.072362,-0.001168,-4.042085,0.007607
0.1,-0.072362,0.00637,-7.672739,0.009491
0.105,-0.072362,0.001345,-10.474246,0.009617
0.11,-0.094975,-0.004685,-6.856156,0.009868
0.115,-0.105025,-0.009208,-3.275754,0.009617
0.12,-0.072362,-0.001168,0.191583,0.009617
0.125,-0.072362,-0.001168,3.859925,0.008989
0.13,-0.072362,-0.004685,7.528266,0.010747
0.135,-0.105025,-0.009208,9.224246,0.00924
0.14,-0.072362,0.00637,5.794598,0.011501
0.145,-0.1,-0.001168,2.126256,0.008989
0.15,-0.072362,-0.004685,-1.42902,0.008737
0.155,-0.072362,-0.0077,-5.009422,0.007607
0.16,-0.11005,-0.001168,-8.665201,0.009742
