x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-4.635000E+00,-2.434171E+00,-20.101E-03,+8.671482E+00,+263.593E-03
-4.630000E+00,-2.404020E+00,-20.101E-03,+8.219221E+00,+263.593E-03
-4.625000E+00,-2.404020E+00,-20.101E-03,+4.601131E+00,+263.593E-03
-4.620000E+00,-2.404020E+00,-20.101E-03,+983.040E-03,+255.553E-03
-4.615000E+00,-2.404020E+00,-35.176E-03,-2.484296E+00,+263.593E-03
-4.610000E+00,-2.404020E+00,-30.151E-03,-6.253141E+00,+271.633E-03
-4.605000E+00,-2.414070E+00,-20.101E-03,-10.021985E+00,+269.623E-03
-4.600000E+00,-2.404020E+00,-20.101E-03,-8.464196E+00,+263.593E-03
-4.595000E+00,-2.444221E+00,-35.176E-03,-4.695352E+00,+269.623E-03
-4.590000E+00,-2.424121E+00,-20.101E-03,-1.228015E+00,+263.593E-03
-4.585000E+00,-2.414070E+00,-20.101E-03,+2.339824E+00,+269.623E-03
-4.580000E+00,-2.404020E+00,-40.201E-03,+6.008166E+00,+263.593E-03
-4.575000E+00,-2.434171E+00,-20.101E-03,+9.676508E+00,+271.633E-03
-4.570000E+00,-2.424121E+00,-30.151E-03,+7.415201E+00,+271.633E-03
-4.565000E+00,-2.404020E+00,-20.101E-03,+3.797111E+00,+271.633E-03
-4.560000E+00,-2.404020E+00,-40.201E-03,+179.020E-03,+271.633E-03
-4.555000E+00,-2.404020E+00,-25.126E-03,-3.489322E+00,+271.633E-03
-4.550000E+00,-2.424121E+00,-20.101E-03,-7.157663E+00,+271.633E-03
-4.545000E+00,-2.404020E+00,-25.126E-03,-10.625000E+00,+271.633E-03
-4.540000E+00,-2.444221E+00,-40.201E-03,-7.459171E+00,+271.633E-03
-4.535000E+00,-2.444221E+00,-25.126E-03,-3.991834E+00,+271.633E-03
-4.530000E+00,-2.404020E+00,-20.101E-03,-323.492E-03,+279.673E-03
-4.525000E+00,-2.414070E+00,-35.176E-03,+3.143844E+00,+271.633E-03
-4.520000E+00,-2.404020E+00,-20.101E-03,+6.812186E+00,+271.633E-03
-4.515000E+00,-2.404020E+00,-25.126E-03,+10.179020E+00,+273.643E-03
-4.510000E+00,-2.404020E+00,-20.101E-03,+6.410176E+00,+275.653E-03
-4.505000E+00,-2.404020E+00,-20.101E-03,+2.842337E+00,+279.673E-03
-4.500000E+00,-2.404020E+00,-20.101E-03,-625.000E-03,+271.633E-03
-4.495000E+00,-2.404020E+00,-15.075E-03,-4.243090E+00,+279.673E-03
-4.490000E+00,-2.404020E+00,-20.101E-03,-7.961683E+00,+279.673E-03
-4.485000E+00,-2.434171E+00,-20.101E-03,-10.323493E+00,+279.673E-03
-4.480000E+00,-2.404020E+00,-20.101E-03,-6.655151E+00,+271.633E-03
-4.475000E+00,-2.373869E+00,-5.025E-03,-3.187814E+00,+277.663E-03
-4.470000E+00,-2.404020E+00,-20.101E-03,+380.025E-03,+279.673E-03
-4.465000E+00,-2.444221E+00,-25.126E-03,+3.998116E+00,+279.673E-03
-4.460000E+00,-2.444221E+00,-20.101E-03,+7.616206E+00,+279.673E-03
-4.455000E+00,-2.414070E+00,-35.176E-03,+9.173995E+00,+281.683E-03
-4.450000E+00,-2.404020E+00,-20.101E-03,+5.606156E+00,+283.693E-03
-4.445000E+00,-2.434171E+00,-10.050E-03,+2.038317E+00,+281.683E-03
-4.440000E+00,-2.404020E+00,-40.201E-03,-1.429020E+00,+271.633E-03
-4.435000E+00,-2.404020E+00,-20.101E-03,-5.248116E+00,+285.704E-03
-4.430000E+00,-2.404020E+00,-20.101E-03,-8.866206E+00,+287.714E-03
-4.425000E+00,-2.404020E+00,-20.101E-03,-9.469221E+00,+285.704E-03
-4.420000E+00,-2.404020E+00,-40.201E-03,-5.650126E+00,+287.714E-03
-4.415000E+00,-2.404020E+00,-20.101E-03,-2.233040E+00,+287.714E-03
-4.410000E+00,-2.424121E+00,-20.101E-03,+1.284548E+00,+287.714E-03
-4.405000E+00,-2.404020E+00,-25.126E-03,+4.802136E+00,+287.714E-03
-4.400000E+00,-2.444221E+00,-40.201E-03,+8.420226E+00,+279.673E-03
-4.395000E+00,-2.434171E+00,-20.101E-03,+8.369975E+00,+293.744E-03
-4.390000E+00,-2.404020E+00,-20.101E-03,+4.701633E+00,+287.714E-03
-4.385000E+00,-2.434171E+00,-5.025E-03,+1.184045E+00,+287.714E-03
-4.380000E+00,-2.444221E+00,-20.101E-03,-2.434045E+00,+279.673E-03
-4.375000E+00,-2.404020E+00,-20.101E-03,-6.052136E+00,+287.714E-03
-4.370000E+00,-2.404020E+00,-20.101E-03,-9.569724E+00,+287.714E-03
-4.365000E+00,-2.434171E+00,-20.101E-03,-8.665201E+00,+287.714E-03
-4.360000E+00,-2.444221E+00,-20.101E-03,-4.846106E+00,+287.714E-03
-4.355000E+00,-2.434171E+00,-20.101E-03,-1.378769E+00,+293.744E-03
-4.350000E+00,-2.404020E+00,-20.101E-03,+2.189070E+00,+291.734E-03
-4.345000E+00,-2.404020E+00,-20.101E-03,+5.756910E+00,+293.744E-03
-4.340000E+00,-2.444221E+00,-20.101E-03,+9.425251E+00,+287.714E-03
-4.335000E+00,-2.404020E+00,-20.101E-03,+7.565955E+00,+293.744E-03
-4.330000E+00,-2.404020E+00,-30.151E-03,+3.797111E+00,+295.754E-03
-4.325000E+00,-2.404020E+00,-20.101E-03,+229.271E-03,+287.714E-03
-4.320000E+00,-2.404020E+00,-40.201E-03,-3.439070E+00,+287.714E-03
-4.315000E+00,-2.434171E+00,-25.126E-03,-7.057161E+00,+293.744E-03
-4.310000E+00,-2.404020E+00,-20.101E-03,-10.675251E+00,+295.754E-03
-4.305000E+00,-2.404020E+00,-10.050E-03,-7.710427E+00,+295.754E-03
-4.300000E+00,-2.404020E+00,-20.101E-03,-4.243090E+00,+295.754E-03
-4.295000E+00,-2.404020E+00,-20.101E-03,-574.749E-03,+295.754E-03
-4.290000E+00,-2.404020E+00,-20.101E-03,+2.993090E+00,+295.754E-03
-4.285000E+00,-2.414070E+00,-20.101E-03,+6.560930E+00,+301.784E-03
-4.280000E+00,-2.444221E+00,-40.201E-03,+10.229271E+00,+295.754E-03
-4.275000E+00,-2.404020E+00,-35.176E-03,+6.761935E+00,+295.754E-03
-4.270000E+00,-2.404020E+00,-30.151E-03,+2.993090E+00,+295.754E-03
-4.265000E+00,-2.404020E+00,-20.101E-03,-574.749E-03,+295.754E-03
-4.260000E+00,-2.404020E+00,-20.101E-03,-4.042085E+00,+295.754E-03
-4.255000E+00,-2.434171E+00,-20.101E-03,-7.660176E+00,+303.794E-03
-4.250000E+00,-2.404020E+00,-20.101E-03,-10.574749E+00,+303.794E-03
-4.245000E+00,-2.404020E+00,-20.101E-03,-6.856156E+00,+303.794E-03
-4.240000E+00,-2.404020E+00,-40.201E-03,-3.238065E+00,+295.754E-03
-4.235000E+00,-2.404020E+00,-35.176E-03,+229.271E-03,+301.784E-03
-4.230000E+00,-2.424121E+00,-20.101E-03,+3.797111E+00,+303.794E-03
-4.225000E+00,-2.373869E+00,-20.101E-03,+7.415201E+00,+303.794E-03
-4.220000E+00,-2.404020E+00,-20.101E-03,+9.224246E+00,+303.794E-03
-4.215000E+00,-2.404020E+00,-20.101E-03,+5.807161E+00,+295.754E-03
-4.210000E+00,-2.424121E+00,-20.101E-03,+2.088568E+00,+307.814E-03
-4.205000E+00,-2.434171E+00,-25.126E-03,-1.378769E+00,+303.794E-03
-4.200000E+00,-2.404020E+00,-40.201E-03,-4.846106E+00,+295.754E-03
-4.195000E+00,-2.404020E+00,-20.101E-03,-8.665201E+00,+303.794E-03
-4.190000E+00,-2.424121E+00,-20.101E-03,-9.770729E+00,+307.814E-03
-4.185000E+00,-2.414070E+00,-20.101E-03,-6.202889E+00,+303.794E-03
-4.180000E+00,-2.404020E+00,-20.101E-03,-2.434045E+00,+295.754E-03
-4.175000E+00,-2.404020E+00,-20.101E-03,+1.033291E+00,+305.804E-03
-4.170000E+00,-2.404020E+00,-20.101E-03,+4.701633E+00,+311.834E-03
-4.165000E+00,-2.404020E+00,-20.101E-03,+8.219221E+00,+311.834E-03
-4.160000E+00,-2.404020E+00,-40.201E-03,+8.420226E+00,+295.754E-03
-4.155000E+00,-2.404020E+00,-25.126E-03,+4.902638E+00,+303.794E-03
-4.150000E+00,-2.404020E+00,-20.101E-03,+1.284548E+00,+311.834E-03
-4.145000E+00,-2.414070E+00,-20.101E-03,-2.233040E+00,+311.834E-03
-4.140000E+00,-2.444221E+00,-20.101E-03,-5.851131E+00,+303.794E-03
-4.135000E+00,-2.434171E+00,-20.101E-03,-9.519472E+00,+309.824E-03
-4.130000E+00,-2.404020E+00,-20.101E-03,-8.966709E+00,+311.834E-03
-4.125000E+00,-2.404020E+00,-20.101E-03,-5.248116E+00,+309.824E-03
-4.120000E+00,-2.404020E+00,-40.201E-03,-1.630025E+00,+303.794E-03
-4.115000E+00,-2.414070E+00,-20.101E-03,+1.837312E+00,+303.794E-03
-4.110000E+00,-2.404020E+00,-20.101E-03,+5.505653E+00,+311.834E-03
-4.105000E+00,-2.404020E+00,-20.101E-03,+9.173995E+00,+311.834E-03
-4.100000E+00,-2.444221E+00,-40.201E-03,+7.817211E+00,+311.834E-03
-4.095000E+00,-2.404020E+00,-20.101E-03,+3.998116E+00,+309.824E-03
-4.090000E+00,-2.404020E+00,-20.101E-03,+380.025E-03,+311.834E-03
-4.085000E+00,-2.404020E+00,-20.101E-03,-2.986809E+00,+317.864E-03
-4.080000E+00,-2.404020E+00,-40.201E-03,-6.856156E+00,+311.834E-03
-4.075000E+00,-2.414070E+00,-20.101E-03,-10.323493E+00,+311.834E-03
-4.070000E+00,-2.404020E+00,-10.050E-03,-8.062186E+00,+311.834E-03
-4.065000E+00,-2.404020E+00,-35.176E-03,-4.444096E+00,+313.844E-03
-4.060000E+00,-2.444221E+00,-20.101E-03,-625.000E-03,+311.834E-03
-4.055000E+00,-2.404020E+00,-40.201E-03,+2.792085E+00,+311.834E-03
-4.050000E+00,-2.404020E+00,-20.101E-03,+6.309673E+00,+315.854E-03
-4.045000E+00,-2.404020E+00,-20.101E-03,+9.978015E+00,+317.864E-03
-4.040000E+00,-2.444221E+00,-40.201E-03,+6.812186E+00,+303.794E-03
-4.035000E+00,-2.404020E+00,-20.101E-03,+3.194096E+00,+311.834E-03
-4.030000E+00,-2.424121E+00,-20.101E-03,-222.990E-03,+319.874E-03
