second,Volt1,Volt2,Volt3
-52.00000E-03,+561.64101E-03,-434.57127E-03,+886.67165E-03
-51.94800E-03,+561.64101E-03,-435.82755E-03,+886.56612E-03
-51.89600E-03,+561.64101E-03,-437.08383E-03,+886.42039E-03
-51.84400E-03,+561.64101E-03,-438.99338E-03,+886.16914E-03
-51.79200E-03,+561.64101E-03,-439.59640E-03,+886.04351E-03
-51.74000E-03,+561.64101E-03,-442.10896E-03,+885.91788E-03
-51.68800E-03,+561.64101E-03,-443.36524E-03,+885.54100E-03
-51.63600E-03,+561.64101E-03,-445.72705E-03,+885.43045E-03
-51.58400E-03,+561.64101E-03,-449.64665E-03,+885.16411E-03
-51.53200E-03,+561.64101E-03,-451.60645E-03,+884.84251E-03
-51.48000E-03,+561.64101E-03,-453.41549E-03,+884.73698E-03
-51.42800E-03,+561.64101E-03,-454.67177E-03,+884.41034E-03
-51.37600E-03,+561.64101E-03,-455.92806E-03,+884.16914E-03
-51.32400E-03,+561.64101E-03,-455.92806E-03,+884.15909E-03
-51.27200E-03,+561.64101E-03,-457.18434E-03,+884.03346E-03
-51.22000E-03,+561.64101E-03,-458.44062E-03,+883.98321E-03
-51.16800E-03,+561.64101E-03,-459.69690E-03,+883.72693E-03
-51.11600E-03,+561.64101E-03,-459.69690E-03,+883.62140E-03
-51.06400E-03,+561.64101E-03,-462.36022E-03,+883.53095E-03
-51.01200E-03,+561.64101E-03,-465.92806E-03,+883.15909E-03
-50.96000E-03,+561.64101E-03,-465.72705E-03,+883.02844E-03
-50.90800E-03,+561.64101E-03,-469.29489E-03,+882.86763E-03
-50.85600E-03,+561.64101E-03,-472.20946E-03,+882.65155E-03
-50.80400E-03,+561.64101E-03,-473.91801E-03,+882.36009E-03
-50.75200E-03,+561.64101E-03,-474.97328E-03,+882.14904E-03
-50.70000E-03,+561.64101E-03,-477.28484E-03,+882.02341E-03
-50.64800E-03,+561.64101E-03,-477.28484E-03,+881.87768E-03
-50.59600E-03,+561.64101E-03,-478.54112E-03,+881.64653E-03
-50.54400E-03,+561.64101E-03,-480.45067E-03,+881.39527E-03
-50.49200E-03,+561.64101E-03,-482.30997E-03,+881.09879E-03
-50.44000E-03,+561.64101E-03,-484.82253E-03,+880.74200E-03
-50.38800E-03,+561.64101E-03,-486.12906E-03,+880.39024E-03
-50.33600E-03,+561.64101E-03,-489.69690E-03,+880.15406E-03
-50.28400E-03,+561.64101E-03,-491.10393E-03,+879.92291E-03
-50.23200E-03,+561.64101E-03,-493.06374E-03,+879.81738E-03
-50.18000E-03,+561.64101E-03,-494.87278E-03,+879.58622E-03
-50.12800E-03,+561.64101E-03,-496.12906E-03,+879.16411E-03
-50.07600E-03,+561.64101E-03,-496.12906E-03,+878.75708E-03
-50.02400E-03,+561.64101E-03,-497.38534E-03,+878.50582E-03
-49.97200E-03,+561.64101E-03,-498.64162E-03,+878.28472E-03
-49.92000E-03,+561.64101E-03,-499.14413E-03,+878.05356E-03
-49.86800E-03,+561.64101E-03,-500.45067E-03,+877.87768E-03
-49.81600E-03,+561.64101E-03,-502.41047E-03,+877.50080E-03
