second,Volt1,Volt2
+144.450E-03,+875.909E-03,+795.730E-03
+146.100E-03,+885.082E-03,+795.730E-03
+147.750E-03,+889.376E-03,+795.730E-03
+149.400E-03,+895.132E-03,+795.730E-03
+151.050E-03,+902.843E-03,+795.981E-03
+152.700E-03,+908.325E-03,+795.981E-03
+154.350E-03,+914.154E-03,+795.981E-03
+156.000E-03,+915.506E-03,+795.981E-03
+157.650E-03,+920.258E-03,+795.981E-03
+159.300E-03,+925.283E-03,+796.233E-03
+160.950E-03,+925.283E-03,+796.233E-03
+162.600E-03,+927.366E-03,+796.337E-03
+164.250E-03,+930.308E-03,+796.484E-03
+165.900E-03,+930.308E-03,+796.735E-03
+167.550E-03,+930.308E-03,+796.986E-03
+169.200E-03,+930.308E-03,+797.181E-03
+170.850E-03,+930.308E-03,+797.392E-03
+172.500E-03,+930.308E-03,+797.740E-03
+174.150E-03,+935.333E-03,+797.992E-03
+175.800E-03,+935.333E-03,+798.243E-03
+177.450E-03,+935.333E-03,+798.249E-03
+179.100E-03,+935.333E-03,+797.992E-03
+180.750E-03,+932.044E-03,+797.489E-03
+182.400E-03,+930.308E-03,+797.238E-03
+184.050E-03,+930.308E-03,+796.735E-03
+185.700E-03,+930.308E-03,+796.484E-03
+187.350E-03,+930.308E-03,+796.480E-03
+189.000E-03,+930.308E-03,+796.233E-03
+190.650E-03,+930.308E-03,+796.058E-03
+192.300E-03,+925.283E-03,+795.981E-03
+193.950E-03,+925.283E-03,+795.981E-03
+195.600E-03,+920.258E-03,+795.981E-03
+197.250E-03,+919.983E-03,+795.981E-03
+198.900E-03,+915.232E-03,+795.757E-03
+200.550E-03,+910.207E-03,+795.730E-03
+202.200E-03,+905.182E-03,+795.730E-03
+203.850E-03,+895.132E-03,+795.730E-03
+205.500E-03,+890.107E-03,+795.730E-03
+207.150E-03,+884.607E-03,+795.730E-03
+208.800E-03,+880.057E-03,+795.479E-03
+210.450E-03,+871.139E-03,+795.479E-03
+212.100E-03,+870.006E-03,+795.325E-03
+213.750E-03,+864.981E-03,+795.113E-03
+215.400E-03,+859.956E-03,+794.976E-03
+217.050E-03,+859.956E-03,+794.725E-03
+218.700E-03,+854.931E-03,+794.474E-03
+220.350E-03,+854.931E-03,+794.018E-03
+222.000E-03,+854.931E-03,+793.807E-03
+223.650E-03,+854.931E-03,+793.596E-03
+225.300E-03,+854.931E-03,+793.218E-03
+226.950E-03,+854.931E-03,+792.966E-03
+228.600E-03,+849.906E-03,+792.715E-03
+230.250E-03,+849.906E-03,+792.464E-03
+231.900E-03,+849.906E-03,+792.213E-03
+233.550E-03,+849.906E-03,+792.213E-03
+235.200E-03,+849.906E-03,+791.961E-03
+236.850E-03,+848.828E-03,+791.961E-03
+238.500E-03,+844.881E-03,+791.961E-03
+240.150E-03,+844.881E-03,+791.961E-03
+241.800E-03,+839.856E-03,+791.710E-03
+243.450E-03,+834.830E-03,+791.710E-03
+245.100E-03,+829.805E-03,+791.710E-03
+246.750E-03,+828.526E-03,+791.710E-03
+248.400E-03,+819.755E-03,+791.710E-03
+250.050E-03,+815.059E-03,+791.459E-03
+251.700E-03,+809.705E-03,+791.264E-03
+253.350E-03,+799.655E-03,+791.208E-03
+255.000E-03,+794.629E-03,+790.705E-03
+256.650E-03,+789.604E-03,+790.454E-03
+258.300E-03,+784.579E-03,+790.169E-03
+259.950E-03,+784.451E-03,+789.700E-03
+261.600E-03,+779.554E-03,+789.449E-03
+263.250E-03,+776.265E-03,+788.946E-03
+264.900E-03,+774.529E-03,+788.695E-03
+266.550E-03,+774.529E-03,+788.444E-03
+268.200E-03,+774.529E-03,+788.444E-03
+269.850E-03,+774.529E-03,+788.193E-03
+271.500E-03,+774.529E-03,+787.941E-03
+273.150E-03,+769.504E-03,+787.941E-03
+274.800E-03,+769.504E-03,+787.941E-03
+276.450E-03,+769.504E-03,+787.941E-03
+278.100E-03,+769.504E-03,+787.690E-03
+279.750E-03,+769.504E-03,+787.690E-03
+281.400E-03,+769.504E-03,+787.690E-03
+283.050E-03,+769.504E-03,+787.690E-03
+284.700E-03,+764.479E-03,+787.439E-03
+286.350E-03,+764.479E-03,+787.439E-03
+288.000E-03,+759.454E-03,+787.188E-03
+289.650E-03,+758.978E-03,+787.188E-03
+291.300E-03,+754.428E-03,+786.936E-03
+292.950E-03,+749.403E-03,+786.685E-03
+294.600E-03,+744.378E-03,+786.434E-03
+296.250E-03,+739.353E-03,+786.182E-03
+297.900E-03,+732.848E-03,+785.857E-03
+299.550E-03,+728.627E-03,+785.429E-03
+301.200E-03,+724.278E-03,+785.177E-03
+302.850E-03,+714.227E-03,+784.973E-03
+304.500E-03,+709.202E-03,+784.762E-03
+306.150E-03,+704.177E-03,+784.675E-03
+307.800E-03,+704.177E-03,+784.424E-03
+309.450E-03,+699.152E-03,+784.172E-03
+311.100E-03,+699.079E-03,+784.172E-03
+312.750E-03,+694.127E-03,+784.172E-03
+314.400E-03,+694.127E-03,+784.172E-03
+316.050E-03,+694.127E-03,+783.921E-03
+317.700E-03,+694.127E-03,+783.921E-03
+319.350E-03,+694.127E-03,+783.921E-03
+321.000E-03,+689.102E-03,+783.921E-03
+322.650E-03,+689.102E-03,+783.670E-03
+324.300E-03,+689.102E-03,+783.670E-03
+325.950E-03,+689.102E-03,+783.670E-03
+327.600E-03,+689.102E-03,+783.670E-03
+329.250E-03,+689.102E-03,+783.670E-03
+330.900E-03,+689.102E-03,+783.670E-03
+332.550E-03,+684.077E-03,+783.419E-03
+334.200E-03,+684.077E-03,+783.419E-03
+335.850E-03,+679.051E-03,+783.167E-03
+337.500E-03,+674.026E-03,+783.167E-03
+339.150E-03,+669.001E-03,+782.916E-03
+340.800E-03,+663.976E-03,+782.665E-03
+342.450E-03,+659.079E-03,+782.420E-03
+344.100E-03,+654.858E-03,+782.414E-03
+345.750E-03,+648.901E-03,+782.162E-03
+347.400E-03,+641.390E-03,+781.911E-03
+349.050E-03,+638.850E-03,+781.660E-03
+350.700E-03,+632.948E-03,+781.365E-03
+352.350E-03,+628.800E-03,+781.157E-03
+354.000E-03,+623.775E-03,+780.906E-03
+355.650E-03,+618.750E-03,+780.655E-03
+357.300E-03,+618.750E-03,+780.404E-03
+358.950E-03,+613.725E-03,+780.152E-03
+360.600E-03,+613.725E-03,+780.098E-03
+362.250E-03,+613.725E-03,+779.901E-03
+363.900E-03,+613.725E-03,+779.901E-03
+365.550E-03,+613.725E-03,+779.901E-03
+367.200E-03,+610.838E-03,+779.757E-03
+368.850E-03,+608.700E-03,+779.650E-03
+370.500E-03,+608.700E-03,+779.650E-03
+372.150E-03,+608.700E-03,+779.650E-03
+373.800E-03,+608.700E-03,+779.415E-03
+375.450E-03,+608.700E-03,+779.399E-03
+377.100E-03,+608.700E-03,+778.993E-03
+378.750E-03,+603.675E-03,+778.645E-03
+380.400E-03,+603.675E-03,+778.320E-03
+382.050E-03,+598.649E-03,+777.857E-03
+383.700E-03,+593.752E-03,+777.389E-03
+385.350E-03,+589.531E-03,+776.933E-03
+387.000E-03,+588.599E-03,+776.635E-03
+388.650E-03,+581.089E-03,+776.383E-03
+390.300E-03,+573.524E-03,+776.132E-03
+391.950E-03,+568.499E-03,+775.881E-03
+393.600E-03,+563.401E-03,+775.881E-03
+395.250E-03,+558.448E-03,+775.666E-03
+396.900E-03,+553.423E-03,+775.630E-03
+398.550E-03,+548.398E-03,+775.630E-03
+400.200E-03,+543.373E-03,+775.378E-03
+401.850E-03,+538.348E-03,+775.127E-03
+403.500E-03,+538.348E-03,+774.862E-03
+405.150E-03,+533.323E-03,+774.400E-03
+406.800E-03,+533.323E-03,+773.938E-03
+408.450E-03,+533.323E-03,+773.620E-03
+410.100E-03,+533.323E-03,+773.264E-03
+411.750E-03,+533.323E-03,+772.866E-03
+413.400E-03,+528.298E-03,+772.363E-03
+415.050E-03,+528.298E-03,+772.129E-03
+416.700E-03,+528.298E-03,+772.112E-03
+418.350E-03,+528.298E-03,+771.861E-03
+420.000E-03,+528.298E-03,+771.861E-03
+421.650E-03,+528.298E-03,+771.861E-03
+423.300E-03,+523.273E-03,+771.610E-03
+424.950E-03,+523.273E-03,+771.610E-03
+426.600E-03,+518.247E-03,+771.610E-03
+428.250E-03,+513.222E-03,+771.610E-03
+429.900E-03,+508.197E-03,+771.358E-03
+431.550E-03,+506.516E-03,+771.274E-03
+433.200E-03,+502.295E-03,+771.107E-03
+434.850E-03,+493.122E-03,+770.852E-03
+436.500E-03,+488.097E-03,+770.605E-03
+438.150E-03,+483.072E-03,+770.353E-03
+439.800E-03,+478.046E-03,+769.968E-03
+441.450E-03,+473.021E-03,+769.600E-03
+443.100E-03,+466.918E-03,+769.348E-03
+444.750E-03,+462.971E-03,+769.097E-03
+446.400E-03,+457.946E-03,+769.097E-03
+448.050E-03,+457.946E-03,+768.846E-03
+449.700E-03,+452.921E-03,+768.595E-03
+451.350E-03,+452.921E-03,+768.595E-03
+453.000E-03,+452.921E-03,+768.343E-03
+454.650E-03,+452.921E-03,+768.343E-03
+456.300E-03,+452.921E-03,+768.092E-03
+457.950E-03,+449.029E-03,+768.092E-03
+459.600E-03,+447.896E-03,+768.092E-03
+461.250E-03,+447.896E-03,+768.092E-03
+462.900E-03,+447.896E-03,+768.018E-03
+464.550E-03,+447.896E-03,+767.841E-03
+466.200E-03,+447.896E-03,+767.841E-03
+467.850E-03,+442.871E-03,+767.841E-03
+469.500E-03,+442.871E-03,+767.841E-03
+471.150E-03,+437.845E-03,+767.841E-03
+472.800E-03,+432.820E-03,+767.590E-03
+474.450E-03,+432.820E-03,+767.590E-03
+476.100E-03,+427.795E-03,+767.590E-03
+477.750E-03,+422.770E-03,+767.590E-03
+479.400E-03,+417.745E-03,+767.590E-03
+481.050E-03,+412.720E-03,+767.590E-03
+482.700E-03,+402.670E-03,+767.338E-03
+484.350E-03,+397.644E-03,+767.284E-03
+486.000E-03,+392.619E-03,+766.836E-03
+487.650E-03,+387.594E-03,+766.584E-03
+489.300E-03,+382.569E-03,+766.333E-03
+490.950E-03,+377.544E-03,+765.831E-03
+492.600E-03,+377.544E-03,+765.579E-03
+494.250E-03,+376.265E-03,+765.077E-03
+495.900E-03,+372.519E-03,+764.574E-03
+497.550E-03,+372.519E-03,+764.340E-03
+499.200E-03,+372.519E-03,+764.129E-03
+500.850E-03,+372.519E-03,+764.072E-03
+502.500E-03,+372.519E-03,+763.821E-03
+504.150E-03,+367.494E-03,+763.821E-03
+505.800E-03,+367.494E-03,+763.569E-03
+507.450E-03,+367.494E-03,+763.569E-03
+509.100E-03,+367.494E-03,+763.569E-03
+510.750E-03,+367.494E-03,+763.318E-03
+512.400E-03,+367.494E-03,+763.194E-03
+514.050E-03,+365.813E-03,+762.983E-03
+515.700E-03,+362.469E-03,+762.564E-03
+517.350E-03,+362.469E-03,+762.309E-03
+519.000E-03,+357.443E-03,+761.811E-03
+520.650E-03,+352.418E-03,+761.308E-03
+522.300E-03,+349.732E-03,+760.923E-03
+523.950E-03,+342.368E-03,+760.554E-03
+525.600E-03,+337.343E-03,+760.249E-03
+527.250E-03,+332.318E-03,+760.038E-03
+528.900E-03,+327.823E-03,+759.801E-03
+530.550E-03,+322.268E-03,+759.801E-03
+532.200E-03,+317.242E-03,+759.801E-03
+533.850E-03,+315.159E-03,+759.801E-03
+535.500E-03,+310.938E-03,+759.549E-03
+537.150E-03,+307.192E-03,+759.549E-03
+538.800E-03,+302.167E-03,+759.549E-03
+540.450E-03,+297.142E-03,+759.355E-03
+542.100E-03,+297.142E-03,+759.298E-03
+543.750E-03,+292.117E-03,+759.047E-03
+545.400E-03,+292.117E-03,+758.796E-03
+547.050E-03,+292.117E-03,+758.544E-03
+548.700E-03,+292.117E-03,+758.048E-03
+550.350E-03,+292.117E-03,+757.791E-03
+552.000E-03,+287.092E-03,+757.375E-03
+553.650E-03,+287.092E-03,+757.164E-03
+555.300E-03,+287.092E-03,+756.953E-03
