second,Volt1,Volt2,Volt3
-47.42400E-03,+621.94855E-03,-570.24966E-03,+622.85256E-03
-47.37200E-03,+623.70533E-03,-572.46072E-03,+622.85256E-03
-47.32000E-03,+625.34955E-03,-574.01851E-03,+622.85256E-03
-47.26800E-03,+626.57568E-03,-575.27479E-03,+622.85256E-03
-47.21600E-03,+627.18272E-03,-576.88283E-03,+622.85256E-03
-47.16400E-03,+627.20684E-03,-577.93811E-03,+622.85256E-03
-47.11200E-03,+626.72242E-03,-579.04363E-03,+622.85256E-03
-47.06000E-03,+625.95257E-03,-579.29489E-03,+622.85256E-03
-47.00800E-03,+624.75056E-03,-581.55620E-03,+622.85256E-03
-46.95600E-03,+623.33347E-03,-581.55620E-03,+622.85256E-03
-46.90400E-03,+621.73146E-03,-584.06876E-03,+622.85256E-03
-46.85200E-03,+620.00282E-03,-585.52605E-03,+622.85256E-03
-46.80000E-03,+618.17367E-03,-586.58132E-03,+622.85256E-03
-46.74800E-03,+616.38674E-03,-588.89288E-03,+622.85256E-03
-46.69600E-03,+614.63397E-03,-589.94816E-03,+622.85256E-03
-46.64400E-03,+612.86312E-03,-591.60645E-03,+622.85256E-03
-46.59200E-03,+611.07619E-03,-592.41046E-03,+622.85256E-03
-46.54000E-03,+609.34955E-03,-594.11901E-03,+622.85256E-03
-46.48800E-03,+607.75357E-03,-594.16926E-03,+622.85256E-03
-46.43600E-03,+606.07317E-03,-596.63157E-03,+622.85256E-03
-46.38400E-03,+604.63196E-03,-596.63157E-03,+622.85256E-03
-46.33200E-03,+603.28121E-03,-597.88785E-03,+622.85256E-03
-46.28000E-03,+601.82191E-03,-598.39037E-03,+622.85256E-03
-46.22800E-03,+600.55156E-03,-599.44565E-03,+622.85256E-03
-46.17600E-03,+599.35558E-03,-600.40042E-03,+622.85256E-03
-46.12400E-03,+598.10131E-03,-601.65670E-03,+622.85256E-03
-46.07200E-03,+596.97769E-03,-603.86776E-03,+622.85256E-03
-46.02000E-03,+595.90232E-03,-606.17931E-03,+622.85256E-03
-45.96800E-03,+594.84704E-03,-606.68182E-03,+622.85256E-03
-45.91600E-03,+593.94654E-03,-608.28987E-03,+622.85256E-03
-45.86400E-03,+593.02393E-03,-610.45067E-03,+622.85256E-03
-45.81200E-03,+592.15156E-03,-610.45067E-03,+622.85256E-03
-45.76000E-03,+591.37970E-03,-610.45067E-03,+622.85256E-03
-45.70800E-03,+590.47518E-03,-612.96323E-03,+622.85256E-03
-45.65600E-03,+589.68523E-03,-613.56625E-03,+622.85256E-03
-45.60400E-03,+588.97970E-03,-615.47579E-03,+622.85256E-03
-45.55200E-03,+588.19980E-03,-615.67680E-03,+622.85256E-03
-45.50000E-03,+587.47016E-03,-617.98836E-03,+622.85256E-03
-45.44800E-03,+586.84101E-03,-617.98836E-03,+622.85256E-03
-45.39600E-03,+586.22795E-03,-619.24464E-03,+622.85256E-03
-45.34400E-03,+585.63297E-03,-620.50092E-03,+622.85256E-03
-45.29200E-03,+584.98975E-03,-621.30493E-03,+622.85256E-03
-45.24000E-03,+584.51538E-03,-621.75720E-03,+622.85256E-03
-45.18800E-03,+583.99880E-03,-623.01348E-03,+622.85256E-03
-45.13600E-03,+583.46815E-03,-624.26976E-03,+622.85256E-03
-45.08400E-03,+582.95357E-03,-626.43057E-03,+622.85256E-03
-45.03200E-03,+582.48925E-03,-628.03861E-03,+622.85256E-03
-44.98000E-03,+581.98272E-03,-629.29489E-03,+622.85256E-03
-44.92800E-03,+581.67920E-03,-631.50594E-03,+622.85256E-03
-44.87600E-03,+581.13046E-03,-631.80745E-03,+622.85256E-03
-44.82400E-03,+580.84101E-03,-632.96323E-03,+622.85256E-03
-44.77200E-03,+580.37066E-03,-634.01851E-03,+622.85256E-03
-44.72000E-03,+580.02292E-03,-634.32001E-03,+622.85256E-03
-44.66800E-03,+579.50835E-03,-634.87278E-03,+622.85256E-03
-44.61600E-03,+579.18674E-03,-635.57630E-03,+622.85256E-03
-44.56400E-03,+578.71438E-03,-636.83258E-03,+622.85256E-03
-44.51200E-03,+578.42694E-03,-636.83258E-03,+622.85256E-03
-44.46000E-03,+578.13347E-03,-639.09389E-03,+622.85256E-03
-44.40800E-03,+577.78975E-03,-639.34514E-03,+622.85256E-03
-44.35600E-03,+577.47217E-03,-639.94816E-03,+622.85256E-03
-44.30400E-03,+577.10232E-03,-641.00344E-03,+622.85256E-03
-44.25200E-03,+576.86714E-03,-641.85770E-03,+622.85256E-03
-44.20000E-03,+576.61589E-03,-643.11399E-03,+622.85256E-03
-44.14800E-03,+576.32242E-03,-644.37026E-03,+622.85256E-03
-44.09600E-03,+576.07920E-03,-645.22454E-03,+622.85256E-03
-44.04400E-03,+575.80986E-03,-646.88283E-03,+622.85256E-03
-43.99200E-03,+575.49227E-03,-648.13911E-03,+622.85256E-03
-43.94000E-03,+575.29930E-03,-649.39539E-03,+622.85256E-03
-43.88800E-03,+575.10634E-03,-650.65167E-03,+622.85256E-03
-43.83600E-03,+574.87518E-03,-651.90795E-03,+622.85256E-03
-43.78400E-03,+574.61991E-03,-653.16423E-03,+622.85256E-03
-43.73200E-03,+574.45508E-03,-654.42052E-03,+622.85256E-03
-43.68000E-03,+574.23398E-03,-656.43056E-03,+622.85256E-03
-43.62800E-03,+574.02895E-03,-655.67680E-03,+622.85256E-03
-43.57600E-03,+573.79780E-03,-656.93308E-03,+622.85256E-03
-43.52400E-03,+573.65508E-03,-658.18936E-03,+622.85256E-03
-43.47200E-03,+573.51237E-03,-659.14414E-03,+622.85256E-03
-43.42000E-03,+573.36965E-03,-659.44564E-03,+622.85256E-03
-43.36800E-03,+573.17669E-03,-659.99841E-03,+622.85256E-03
-43.31600E-03,+573.03398E-03,-661.05369E-03,+622.85256E-03
-43.26400E-03,+572.89729E-03,-661.95820E-03,+622.85256E-03
-43.21200E-03,+572.84704E-03,-663.21449E-03,+622.85256E-03
-43.16000E-03,+572.75659E-03,-664.47077E-03,+622.85256E-03
-43.10800E-03,+572.64604E-03,-665.72705E-03,+622.85256E-03
-43.05600E-03,+572.54553E-03,-666.98333E-03,+622.85256E-03
-43.00400E-03,+572.49528E-03,-668.23961E-03,+622.85256E-03
-42.95200E-03,+572.39478E-03,-670.75217E-03,+622.85256E-03
-42.90000E-03,+572.39478E-03,-670.75217E-03,+622.85256E-03
-42.84800E-03,+572.34453E-03,-671.80746E-03,+622.85256E-03
-42.79600E-03,+572.31036E-03,-673.26474E-03,+622.85256E-03
-42.74400E-03,+572.39478E-03,-673.26474E-03,+622.85256E-03
-42.69200E-03,+572.39478E-03,-674.52102E-03,+622.85256E-03
-42.64000E-03,+572.39478E-03,-674.77228E-03,+622.85256E-03
-42.58800E-03,+572.54352E-03,-675.77730E-03,+622.85256E-03
-42.53600E-03,+572.64604E-03,-675.77730E-03,+622.85256E-03
-42.48400E-03,+572.74654E-03,-677.03358E-03,+622.85256E-03
-42.43200E-03,+572.87518E-03,-678.28986E-03,+622.85256E-03
-42.38000E-03,+573.01790E-03,-679.54614E-03,+622.85256E-03
-42.32800E-03,+573.26111E-03,-679.54614E-03,+622.85256E-03
-42.27600E-03,+573.60483E-03,-680.90293E-03,+622.85256E-03
-42.22400E-03,+573.94051E-03,-683.21449E-03,+622.85256E-03
-42.17200E-03,+574.38071E-03,-683.01349E-03,+622.85256E-03
-42.12000E-03,+574.82694E-03,-683.31499E-03,+622.85256E-03
-42.06800E-03,+575.39780E-03,-685.12404E-03,+622.85256E-03
-42.01600E-03,+576.23398E-03,-684.92304E-03,+622.85256E-03
-41.96400E-03,+576.99780E-03,-687.08383E-03,+622.85256E-03
-41.91200E-03,+577.86413E-03,-689.54615E-03,+622.85256E-03
-41.86000E-03,+578.68624E-03,-689.59640E-03,+622.85256E-03
-41.80800E-03,+579.34352E-03,-692.10896E-03,+622.85256E-03
-41.75600E-03,+579.62895E-03,-692.10896E-03,+622.85256E-03
-41.70400E-03,+579.63096E-03,-695.02354E-03,+622.85256E-03
-41.65200E-03,+579.37166E-03,-695.87780E-03,+622.85256E-03
-41.60000E-03,+579.07820E-03,-695.87780E-03,+622.85256E-03
-41.54800E-03,+578.54955E-03,-696.93309E-03,+622.85256E-03
-41.49600E-03,+578.07116E-03,-697.98836E-03,+622.85256E-03
-41.44400E-03,+577.54453E-03,-698.39036E-03,+622.85256E-03
-41.39200E-03,+576.98171E-03,-698.39036E-03,+622.85256E-03
-41.34000E-03,+576.57568E-03,-698.39036E-03,+622.85256E-03
-41.28800E-03,+576.00684E-03,-699.64665E-03,+622.85256E-03
-41.23600E-03,+575.42192E-03,-700.90293E-03,+622.85256E-03
-41.18400E-03,+575.03599E-03,-703.41549E-03,+622.85256E-03
-41.13200E-03,+574.59980E-03,-703.41549E-03,+622.85256E-03
-41.08000E-03,+574.29428E-03,-704.67177E-03,+622.85256E-03
-41.02800E-03,+573.91639E-03,-703.71701E-03,+622.85256E-03
-40.97600E-03,+573.64302E-03,-706.02856E-03,+622.85256E-03
-40.92400E-03,+573.35759E-03,-707.28483E-03,+622.85256E-03
-40.87200E-03,+573.07217E-03,-708.13912E-03,+622.85256E-03
-40.82000E-03,+572.86714E-03,-708.44062E-03,+622.85256E-03
-40.76800E-03,+572.69629E-03,-710.24967E-03,+622.85256E-03
-40.71600E-03,+572.58171E-03,-711.30495E-03,+622.85256E-03
-40.66400E-03,+572.43900E-03,-713.31498E-03,+622.85256E-03
-40.61200E-03,+572.29428E-03,-712.20946E-03,+622.85256E-03
-40.56000E-03,+572.19378E-03,-713.21449E-03,+622.85256E-03
-40.50800E-03,+572.11136E-03,-714.72202E-03,+622.85256E-03
-40.45600E-03,+572.06915E-03,-715.32505E-03,+622.85256E-03
-40.40400E-03,+572.04302E-03,-715.97830E-03,+622.85256E-03
-40.35200E-03,+572.05106E-03,-715.97830E-03,+622.85256E-03
-40.30000E-03,+572.04302E-03,-717.23459E-03,+622.85256E-03
-40.24800E-03,+572.09327E-03,-717.23459E-03,+622.85256E-03
-40.19600E-03,+572.14352E-03,-718.08887E-03,+622.85256E-03
-40.14400E-03,+572.14352E-03,-718.49087E-03,+622.85256E-03
-40.09200E-03,+572.19378E-03,-718.49087E-03,+622.85256E-03
-40.04000E-03,+572.20383E-03,-719.74715E-03,+622.85256E-03
-39.98800E-03,+572.29830E-03,-720.95317E-03,+622.85256E-03
-39.93600E-03,+572.39478E-03,-719.74715E-03,+622.85256E-03
-39.88400E-03,+572.49528E-03,-721.00343E-03,+622.85256E-03
-39.83200E-03,+572.56764E-03,-722.25971E-03,+622.85256E-03
-39.78000E-03,+572.71639E-03,-721.50595E-03,+622.85256E-03
-39.72800E-03,+572.80885E-03,-722.25971E-03,+622.85256E-03
-39.67600E-03,+572.89729E-03,-723.61650E-03,+622.85256E-03
-39.62400E-03,+572.99378E-03,-723.51599E-03,+622.85256E-03
-39.57200E-03,+573.13649E-03,-725.72706E-03,+622.85256E-03
-39.52000E-03,+573.27920E-03,-727.28484E-03,+622.85256E-03
-39.46800E-03,+573.44403E-03,-727.83761E-03,+622.85256E-03
-39.41600E-03,+573.61488E-03,-729.79740E-03,+622.85256E-03
-39.36400E-03,+573.75156E-03,-731.05368E-03,+622.85256E-03
-39.31200E-03,+573.85207E-03,-731.05368E-03,+622.85256E-03
-39.26000E-03,+574.08322E-03,-732.05872E-03,+622.85256E-03
-39.20800E-03,+574.23599E-03,-733.11399E-03,+622.85256E-03
-39.15600E-03,+574.37870E-03,-734.82253E-03,+622.85256E-03
-39.10400E-03,+574.52141E-03,-734.82253E-03,+622.85256E-03
-39.05200E-03,+574.67217E-03,-736.07881E-03,+622.85256E-03
-39.00000E-03,+574.85709E-03,-736.07881E-03,+622.85256E-03
