second,Volt1,Volt2,Volt3
+2.496950E+00,+26.829E-03,-3.542556E+00,+1.074204E+00
+2.498400E+00,+26.859E-03,-3.544830E+00,+1.074204E+00
+2.499850E+00,+26.874E-03,-3.547582E+00,+1.074204E+00
+2.501300E+00,+26.880E-03,-3.552607E+00,+1.074204E+00
+2.502750E+00,+26.979E-03,-3.552607E+00,+1.074204E+00
+2.504200E+00,+27.030E-03,-3.556689E+00,+1.074204E+00
+2.505650E+00,+27.059E-03,-3.557632E+00,+1.074204E+00
+2.507100E+00,+27.111E-03,-3.562657E+00,+1.074204E+00
+2.508550E+00,+27.109E-03,-3.562657E+00,+1.074204E+00
+2.510000E+00,+27.132E-03,-3.567682E+00,+1.074204E+00
+2.511450E+00,+27.155E-03,-3.567682E+00,+1.074204E+00
+2.512900E+00,+27.204E-03,-3.572707E+00,+1.074204E+00
+2.514350E+00,+27.269E-03,-3.572707E+00,+1.074204E+00
+2.515800E+00,+27.275E-03,-3.577732E+00,+1.074204E+00
+2.517250E+00,+27.331E-03,-3.577732E+00,+1.074204E+00
+2.518700E+00,+27.314E-03,-3.577732E+00,+1.074204E+00
+2.520150E+00,+27.330E-03,-3.582757E+00,+1.074204E+00
+2.521600E+00,+27.356E-03,-3.582757E+00,+1.074204E+00
+2.523050E+00,+27.393E-03,-3.582757E+00,+1.074204E+00
+2.524500E+00,+27.421E-03,-3.587783E+00,+1.074204E+00
+2.525950E+00,+27.482E-03,-3.587783E+00,+1.074204E+00
+2.527400E+00,+27.498E-03,-3.587783E+00,+1.074204E+00
+2.528850E+00,+27.518E-03,-3.592808E+00,+1.074204E+00
+2.530300E+00,+27.508E-03,-3.592808E+00,+1.074204E+00
+2.531750E+00,+27.571E-03,-3.596689E+00,+1.074204E+00
+2.533200E+00,+27.593E-03,-3.597833E+00,+1.074204E+00
+2.534650E+00,+27.634E-03,-3.600106E+00,+1.074204E+00
+2.536100E+00,+27.690E-03,-3.602858E+00,+1.074204E+00
+2.537550E+00,+27.708E-03,-3.603523E+00,+1.074204E+00
+2.539000E+00,+27.683E-03,-3.607883E+00,+1.074204E+00
+2.540450E+00,+27.708E-03,-3.607883E+00,+1.074204E+00
+2.541900E+00,+27.733E-03,-3.612908E+00,+1.074204E+00
