second,Volt1,Volt2
-40.000E-03,,
-38.250E-03,+22.609E-03,+608.700E-03
-36.500E-03,+22.635E-03,+608.700E-03
-34.750E-03,+22.653E-03,+613.725E-03
-33.000E-03,+22.671E-03,+613.725E-03
-31.250E-03,+22.689E-03,+618.750E-03
-29.500E-03,+22.681E-03,+618.750E-03
-27.750E-03,+22.733E-03,+623.775E-03
-26.000E-03,+22.759E-03,+623.775E-03
-24.250E-03,+22.782E-03,+628.800E-03
-22.500E-03,+22.827E-03,+633.825E-03
-20.750E-03,+22.879E-03,+638.850E-03
-19.000E-03,+22.885E-03,+640.401E-03
-17.250E-03,+22.950E-03,+648.901E-03
-15.500E-03,+23.011E-03,+653.926E-03
-13.750E-03,+23.059E-03,+653.926E-03
-12.000E-03,+23.141E-03,+662.311E-03
-10.250E-03,+23.187E-03,+663.976E-03
-8.500E-03,+23.284E-03,+670.753E-03
-6.750E-03,+23.392E-03,+674.026E-03
-5.000E-03,+23.476E-03,+679.051E-03
-3.250E-03,+23.538E-03,+679.051E-03
-1.500E-03,+23.526E-03,+684.077E-03
+250E-06,+23.531E-03,+686.833E-03
+2.000E-03,+23.466E-03,+689.102E-03
+3.750E-03,+23.432E-03,+689.102E-03
+5.500E-03,+23.359E-03,+694.127E-03
+7.250E-03,+23.346E-03,+694.127E-03
+9.000E-03,+23.287E-03,+694.127E-03
+10.750E-03,+23.217E-03,+699.152E-03
+12.500E-03,+23.213E-03,+699.152E-03
+14.250E-03,+23.183E-03,+704.177E-03
+16.000E-03,+23.159E-03,+704.177E-03
+17.750E-03,+23.172E-03,+709.202E-03
+19.500E-03,+23.164E-03,+709.202E-03
+21.250E-03,+23.136E-03,+714.227E-03
+23.000E-03,+23.136E-03,+719.253E-03
+24.750E-03,+23.149E-03,+724.278E-03
+26.500E-03,+23.145E-03,+729.303E-03
+28.250E-03,+23.174E-03,+729.303E-03
+30.000E-03,+23.132E-03,+734.328E-03
+31.750E-03,+23.132E-03,+742.713E-03
+33.500E-03,+23.143E-03,+744.378E-03
+35.250E-03,+23.148E-03,+749.403E-03
+37.000E-03,+23.161E-03,+754.428E-03
+38.750E-03,+23.186E-03,+759.454E-03
+40.500E-03,+23.197E-03,+759.454E-03
+42.250E-03,+23.204E-03,+759.454E-03
+44.000E-03,+23.219E-03,+764.479E-03
+45.750E-03,+23.219E-03,+769.504E-03
+47.500E-03,+23.240E-03,+769.504E-03
+49.250E-03,+23.261E-03,+769.504E-03
+51.000E-03,+23.285E-03,+774.069E-03
+52.750E-03,+23.293E-03,+774.529E-03
+54.500E-03,+23.305E-03,+774.529E-03
+56.250E-03,+23.341E-03,+774.529E-03
+58.000E-03,+23.368E-03,+779.554E-03
+59.750E-03,+23.361E-03,+779.554E-03
+61.500E-03,+23.387E-03,+779.554E-03
+63.250E-03,+23.400E-03,+784.579E-03
+65.000E-03,+23.422E-03,+784.579E-03
+66.750E-03,+23.419E-03,+789.604E-03
+68.500E-03,+23.446E-03,+794.629E-03
+70.250E-03,+23.484E-03,+794.629E-03
+72.000E-03,+23.501E-03,+799.655E-03
+73.750E-03,+23.498E-03,+800.516E-03
+75.500E-03,+23.559E-03,+804.680E-03
+77.250E-03,+23.570E-03,+809.705E-03
+79.000E-03,+23.589E-03,+814.730E-03
+80.750E-03,+23.601E-03,+819.755E-03
+82.500E-03,+23.626E-03,+819.755E-03
+84.250E-03,+23.628E-03,+824.780E-03
+86.000E-03,+23.644E-03,+829.805E-03
+87.750E-03,+23.614E-03,+834.830E-03
+89.500E-03,+23.644E-03,+836.783E-03
+91.250E-03,+23.689E-03,+839.856E-03
+93.000E-03,+23.677E-03,+844.881E-03
+94.750E-03,+23.687E-03,+844.881E-03
+96.500E-03,+23.686E-03,+849.906E-03
+98.250E-03,+23.694E-03,+849.906E-03
+100.000E-03,+23.702E-03,+852.059E-03
+101.750E-03,+23.736E-03,+854.931E-03
+103.500E-03,+23.739E-03,+854.931E-03
+105.250E-03,+23.727E-03,+859.698E-03
+107.000E-03,+23.729E-03,+859.956E-03
+108.750E-03,+23.760E-03,+863.115E-03
+110.500E-03,+23.759E-03,+864.981E-03
+112.250E-03,+23.798E-03,+870.006E-03
+114.000E-03,+23.798E-03,+870.753E-03
+115.750E-03,+23.814E-03,+875.031E-03
+117.500E-03,+23.825E-03,+880.057E-03
+119.250E-03,+23.798E-03,+885.082E-03
+121.000E-03,+23.815E-03,+887.637E-03
+122.750E-03,+23.881E-03,+895.132E-03
+124.500E-03,+23.857E-03,+896.079E-03
+126.250E-03,+23.840E-03,+900.301E-03
+128.000E-03,+23.840E-03,+905.182E-03
+129.750E-03,+23.865E-03,+913.768E-03
+131.500E-03,+23.876E-03,+915.232E-03
+133.250E-03,+23.890E-03,+920.258E-03
+135.000E-03,+23.896E-03,+920.258E-03
+136.750E-03,+23.918E-03,+925.283E-03
+138.500E-03,+23.928E-03,+925.283E-03
+140.250E-03,+23.953E-03,+930.308E-03
+142.000E-03,+23.960E-03,+930.308E-03
+143.750E-03,+23.980E-03,+930.308E-03
+145.500E-03,+24.010E-03,+935.333E-03
+147.250E-03,+23.993E-03,+935.333E-03
+149.000E-03,+24.028E-03,+935.333E-03
+150.750E-03,+24.066E-03,+940.358E-03
+152.500E-03,+24.099E-03,+940.358E-03
+154.250E-03,+24.103E-03,+945.383E-03
+156.000E-03,+24.141E-03,+950.408E-03
+157.750E-03,+24.143E-03,+950.408E-03
+159.500E-03,+24.154E-03,+950.466E-03
+161.250E-03,+24.177E-03,+959.597E-03
+163.000E-03,+24.179E-03,+960.459E-03
+164.750E-03,+24.204E-03,+965.484E-03
+166.500E-03,+24.212E-03,+960.459E-03
+168.250E-03,+24.194E-03,+959.511E-03
+170.000E-03,+24.166E-03,+955.290E-03
+171.750E-03,+24.166E-03,+950.408E-03
+173.500E-03,+24.145E-03,+950.408E-03
+175.250E-03,+24.165E-03,+945.383E-03
+177.000E-03,+24.146E-03,+940.358E-03
+178.750E-03,+24.109E-03,+940.358E-03
+180.500E-03,+24.118E-03,+935.333E-03
+182.250E-03,+24.093E-03,+935.333E-03
+184.000E-03,+24.085E-03,+935.333E-03
+185.750E-03,+24.071E-03,+935.333E-03
+187.500E-03,+24.048E-03,+930.308E-03
+189.250E-03,+24.022E-03,+930.308E-03
+191.000E-03,+24.039E-03,+925.283E-03
+192.750E-03,+24.028E-03,+925.283E-03
+194.500E-03,+23.993E-03,+920.258E-03
+196.250E-03,+23.962E-03,+920.258E-03
+198.000E-03,+23.965E-03,+915.232E-03
+199.750E-03,+23.957E-03,+910.207E-03
+201.500E-03,+23.905E-03,+909.461E-03
+203.250E-03,+23.902E-03,+900.214E-03
+205.000E-03,+23.836E-03,+900.157E-03
+206.750E-03,+23.857E-03,+895.132E-03
+208.500E-03,+23.827E-03,+887.551E-03
+210.250E-03,+23.832E-03,+885.082E-03
+212.000E-03,+23.777E-03,+879.109E-03
+213.750E-03,+23.765E-03,+875.031E-03
+215.500E-03,+23.741E-03,+870.006E-03
+217.250E-03,+23.756E-03,+866.446E-03
+219.000E-03,+23.741E-03,+864.981E-03
+220.750E-03,+23.724E-03,+863.029E-03
+222.500E-03,+23.670E-03,+859.956E-03
+224.250E-03,+23.677E-03,+859.611E-03
+226.000E-03,+23.665E-03,+854.931E-03
+227.750E-03,+23.645E-03,+854.931E-03
+229.500E-03,+23.671E-03,+849.906E-03
+231.250E-03,+23.653E-03,+849.906E-03
+233.000E-03,+23.639E-03,+849.906E-03
+234.750E-03,+23.636E-03,+844.881E-03
+236.500E-03,+23.589E-03,+844.881E-03
+238.250E-03,+23.594E-03,+839.856E-03
+240.000E-03,+23.606E-03,+834.830E-03
+241.750E-03,+23.563E-03,+834.830E-03
+243.500E-03,+23.559E-03,+829.805E-03
+245.250E-03,+23.540E-03,+824.780E-03
+247.000E-03,+23.539E-03,+819.812E-03
+248.750E-03,+23.576E-03,+815.591E-03
+250.500E-03,+23.563E-03,+814.730E-03
+252.250E-03,+23.570E-03,+809.705E-03
+254.000E-03,+23.526E-03,+804.680E-03
+255.750E-03,+23.553E-03,+799.655E-03
+257.500E-03,+23.563E-03,+799.511E-03
+259.250E-03,+23.540E-03,+794.629E-03
+261.000E-03,+23.538E-03,+791.069E-03
+262.750E-03,+23.513E-03,+786.848E-03
+264.500E-03,+23.543E-03,+784.579E-03
+266.250E-03,+23.541E-03,+784.579E-03
+268.000E-03,+23.513E-03,+779.554E-03
+269.750E-03,+23.516E-03,+779.554E-03
+271.500E-03,+23.516E-03,+779.554E-03
+273.250E-03,+23.508E-03,+774.529E-03
